permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-4605,,"Building Permit No Plan Check",,,"311 Lake St Agua Caliente [AGU]",,056-121-004,,"SFD, Replace Main Service Panel 200 amp -like for like"
BLD25-4608,Finaled,"Building Permit No Plan Check",,,"18782 Deer Park Dr Sonoma [SON]",,064-200-011,,"SFD. Remove & dispose of existing roof on house. Install 38sq of GAF architectural roofing shingles."
BLD25-4609,Finaled,"Building Permit No Plan Check",,,"13011 Bodega Hwy Twin Hills [TWI]",,073-080-087,,"Remove and dispose of existing composition shingle roof on residential detached garage. New roof material is GAF Timberline HDZ U.L. Class A architectural laminate fiberglass comp shingle roof."
BLD25-4611,,"Building Permit No Plan Check",,,"19091 Shady Dr Monte Rio [MRO]",,094-170-058,,"Self-Certified Permit SFD Tear-off Reroof 20 Year Gaf System Installed All Flashings Replaced during Installation All Debris pertaining to job Disposed of Fire & Ice Proof Vents will be installed as necessary Gutters will be cleaned if not Replaced all Flashings will be secured with Gasket Screws at end of Project All Flashings will be Painted with good Quality Paint at end of the Project with a Higher-Grade paint than Typical Roofing Paint All Valleys will have Synthetic GAF weather watch installed All Pipe jacks will have synthetic GAF weather watch installed around them All Pipe jacks will have updated storm collars Any Chimneys-or-Skylights will have new 24 gage sheet metal saddles made by hand as well as counter flashings will be replaced and reinstalled into the mortar of the chimney All wood work will be done on Time and Material Basis at $90 Per Man Per Hour After Approval For Repairs Are Made By The Homeowner Homeowner Pays For Permit"
BLD25-4612,Finaled,"Building Permit No Plan Check",,,"16495 Burl Ln Bodega Bay [BBY]",,103-100-053,,"Remove and dispose of existing composition shingle roof on single-family dwelling. New roof material is GAF Timberline HDZ U.L. Class A architectural laminate fiberglass comp shingle roof."
BLD25-4614,Issue/Payment,"Building Permit No Plan Check",,,"1043 Butler Ave Bellevue [BEL]",,134-061-006,,"SFD - Upgrade electrical panel to 200 amps"
BLD25-4615,Finaled,"Building Permit No Plan Check",,,"11703 Oak Rd Forestville [FOR]",,081-250-047,,"SFD - Replace 40 gallon Electric Water Heater -like for like-"
BLD25-4616,Finaled,"Building Permit No Plan Check",,,"7315 Fircrest Ave Twin Hills [TWI]",,060-170-005,,"SFD - REPLACE WATER SERVICE FROM HOUSE TO METER BOX AT PROPERTY LINE. 200FT LONG REPAIR USING PVC PIPING"
BLD25-4620,,"Building Permit No Plan Check",,,"248 Oak Tree Dr Santa Rosa [SRO]",,130-372-024,,"Reroof - Removal of existing roof material, installing Malarkey Ecoasis roofing system on a single family dwelling, 7,660 square feet.Work valuation $76.010.00 Self-certified."
BLD25-4621,,"Building Permit No Plan Check",,,"4795 Grove St Sonoma [SON]",,064-070-025,,"Partial reroof 2 planes only 26sqs comp shingles under existing tile. will set tile aside install comp shingles and the reinstall clay tile will use existing decking."
BLD25-4626,"Awaiting Applicant Response","Building Permit No Plan Check",,,"458 Las Casitas C Windsor [WIN]",,039-070-055,,"All work limited to 10x12 kitchen with exception of upgrade to electrical panel *Demo- existing cabinets & non structural dropped ceiling *Plumbing- use existing sink plumbing, new sink and disposal, ice maker line *Electrical- Upgrade panel, add kitchen circuits to code, move range power, recessed cans, UC lighting *HVAC- new duct from hood to existing roof vent *Insulation- ceiling *Drywall- Ceiling and patches *Finish Carpentry- Install new cabinets, etc *Countertops- *Flooring *Paint"
BLD25-4627,Finaled,"Building Permit No Plan Check",,,"116 Sussex Dr Windsor [WIN]",,058-133-017,,"T/O 37 SQ COMP SHINGLE; RE-ROOF WITH CLASS A RATED COMP SHINGLE; SFD; SELF CERT"
BLD25-4634,,"Building Permit No Plan Check",,,"20730 Temelec Dr Sonoma [SON]",,142-170-043,,"SFD - Replace all drains inside the house using ABS pipes"
BLD25-4636,Finaled,"Building Permit No Plan Check",,,"21480 Heron Dr Bodega Bay [BBY]",,100-262-033,,"Replace damaged 200A electric meter panel. Like for like."
BLD25-4638,,"Building Permit No Plan Check",,,"38901 Pine Mountain Rd Geyserville [GEY]",,117-220-023,,"Detached Garage: Remove failing cement board siding and replace with similar cement board siding."
BLD25-4639,,"Building Permit No Plan Check",,,"2011 Cooper Rd Sebastopol [SEB]",,063-260-020,,"Main House: T/O 30 sqrs Re-roof and install Class A Metal Roofing to include siding repair"
BLD25-4640,,"Building Permit No Plan Check",,,"5535 Sierra Grande Dr Bodega Bay [BBY]",,101-262-002,,"SFD, Exterior siding replacement with trim board and fascia repair."
BLD25-4642,Finaled,"Building Permit No Plan Check",,,"5295 Lone Pine Rd Twin Hills [TWI]",,062-032-041,,"Install 200 amp 240 volt circuit to barn #1 and 100 amp 240 volt to barn #2"
BLD25-4649,,"Building Permit No Plan Check",,,"5198 Quayle Rd Twin Hills [TWI]",,062-091-023,,"Install Level 2 EV charging for Ford Mach E at a post about 20 feet from the house. Circuit is already in the ground and supported by a 50A breaker. Connect Ford Pro charger to existing GE subpanel. Will step down circuit to 40A GE breaker. Test charger and certify functionality."
BLD25-4651,Finaled,"Building Permit No Plan Check",,,"160 Sounding Sea Ranch [SEA]",,156-470-016,,"SFD - ADD NEW DUCTED MINI SPLIT SYSTEM. DUCTING"
BLD25-4653,,"Building Permit No Plan Check",,,"1 Countywide",,000-000-001,,"Tear off & Reroof Water Tanks w/ TPO Class A for Valley Ford Water District (in County ROW)"
BLD25-4655,,"Building Permit No Plan Check",,,"539 Ely Rd Penngrove [PEN]",,137-020-032,,"To relocate and upgrade 200a electrical service to a class 320 on a panelboard construction"
BLD25-4658,Finaled,"Building Permit No Plan Check",,,"13200 Henno Rd Glen Ellen [GLE]",,054-250-004,,"A. Remove existing 200 amp Zinsco surface mounted meter main combination panel. B. Install Eaton 200 Amp 20-Space 40-Circuit Surface EUSERC BR Type Main Meter Breaker. C. Install (2) ground rods and ground wire. D. Install water bond. E. Install new breakers."
BLD25-4663,,"Building Permit No Plan Check",,,"6825 Giusti Rd Forestville [FOR]",,083-120-035,,"Upgrade main panel from a 100 amp zinsco to 200amps code compliant. Overhead service in the same location."
BLD25-4664,Finaled,"Building Permit No Plan Check",,,"245 Condor Ct Bodega Bay [BBY]",,100-252-021,,"-SFD- Re-Roof - T/O exsiting Comp roof one layer, install GAF UHDZ Class A shingles in Weatheredwood, 30 squares, no re-sheeting, pitch 5/12 & 8/12.*self certify"
BLD25-4665,Finaled,"Building Permit No Plan Check",,,"11370 Occidental Rd Graton [GRA]",,061-080-039,,"remove and replace back structure with 2 layers modified bitumen on flat roof"
BLD25-4666,,"Building Permit No Plan Check",,,"220 Penngrove Ave Penngrove [PEN]",,047-052-005,,"tear off reroof 10 squares using class A comp shingles - at 220 Penngrove Ave, Penngrove SELF CERTIFICATE"
BLD25-4667,,"Building Permit No Plan Check",,,"200 Penngrove Ave Penngrove [PEN]",,047-052-005,,"tear off re roof 17 squares using class A comp shingles - at address 200 Penngrove Ave, Penngrove SELF CERTIFICATE"
BLD25-4671,,"Building Permit No Plan Check",,,"1020 Wilfred Ave Bellevue [BEL]",,134-251-058,,"SFD, (1) R8 DUCTS SUPPLY: 9 RETURN: 0 ENTIRELY NEW: NO"
BLD25-4672,,"Building Permit No Plan Check",,,"11230 Westside Ave Forestville [FOR]",,081-023-014,,"(1) NEW 3 TON CONDENSER IN BACK YARD NEED ELE: NO"
BLD25-4673,Finaled,"Building Permit No Plan Check",,,"286 Skillman Ln Petaluma [PET]",,048-074-013,,"Remove (E) barded unit on rooftop. Install (N) Single Zone mini split"
BLD25-4685,Finaled,"Building Permit No Plan Check",,,"18780 Orange Ave Agua Caliente [AGU]",,052-241-010,,"Tear off reroof 30 squares comp shingles, 4 squares flat torch down"
BLD25-4693,Finaled,"Building Permit No Plan Check",,,"100 La Mancha Way Agua Caliente [AGU]",,052-690-024,,"100 La Mancha, Remove existing 100A Sylvania panel and install new 100A panel in existing location, Per insurance company"
BLD25-4694,,"Building Permit No Plan Check",,,"104 La Mancha Way Agua Caliente [AGU]",,052-690-022,,"104 La Mancha, Remove existing 100A Sylvania panel and install new 100A panel in existing location, Per insurance company"
BLD25-4695,Finaled,"Building Permit No Plan Check",,,"106 La Mancha Way Agua Caliente [AGU]",,052-690-021,,"106 La mancha, Remove existing 100A Sylvania panel and install new 100A panel in existing location, Per insurance company"
BLD25-4696,"Awaiting Applicant Response","Building Permit No Plan Check",,,"16310 Church St Guerneville [GUE]",,070-030-003,,"Roof, siding, and dry rot repairs."
BLD25-4697,Finaled,"Building Permit No Plan Check",,,"499 Moon Mountain Dr Glen Ellen [GLE]",,056-031-023,,"SFD, Replace underground section of leaking gas line (like for like) per PG&E request"
BLD25-4699,,"Building Permit No Plan Check",,,"19220 Riverside Dr Agua Caliente [AGU]",,052-422-021,,"Replaced an existing Forced Air Furnace with a new one in an existing building (single family home)."
BLD25-4704,Finaled,"Building Permit No Plan Check",,,"5080 Bodega Ave Petaluma [PET]",,113-020-067,,"Tear off and dispose of existing roofing down to roofing substrate. Adhere GAF weather watch peel and stick membrane to ridges, rake edges, rake walls, around pipes and other leak prone areas. Install GAF Tiger Paw synthetic underlayment on all main facets of house. Install new pipe flashings and vent assemblies. Install GAF Timberline HDZ shingles with GAF Z ridge cap. Install GAF cobra ridge on all main ridges."
BLD25-4705,,"Building Permit No Plan Check",,,"38901 Pine Mountain Rd Geyserville [GEY]",,117-220-023,,"SFD, Remove & Replace Failed Siding"
BLD25-4707,,"Building Permit No Plan Check",,,"15131 Drake Rd Forestville [FOR]",,071-070-060,,"SFD - Tear off /Re-roof 400 SF Garage"
BLD25-4709,Finaled,"Building Permit No Plan Check",,,"5170 Pressley Rd Bennett Valley [BEN]",,049-101-037,,"Septic electrical for septic control panel and sump pump."
BLD25-4713,,"Building Permit No Plan Check",,,"5185 Oak Meadow Dr Santa Rosa [SRO]",,130-352-003,,"Project: Power for back yard hot tub: Install 220 V 50A breaker to Panel Connect 6-3 Romex to Breaker in panel Run Wire through attic to GFCI Breaker near Hot Tub Run 6-3 Romex from Breaker to Hot Tub and connect"
BLD25-4716,Finaled,"Building Permit No Plan Check",,,"4064 Snyder Ln Penngrove [PEN]",,045-143-035,,"Tear off existing roof on garage (2nd building) and replace with Class A composition shingles. Self-certify"
BLD25-4718,,"Building Permit No Plan Check",,,"8 Pine Ave Agua Caliente [AGU]",,056-362-007,,"Urgent request - to repair Main panel 100AMP and repair overhead line"
BLD25-4721,Finaled,"Building Permit No Plan Check",,,"1718 Moraga Dr Santa Rosa [SRO]",,044-162-010,,"SFD; 13sqs; Self Certified contractor; Remove existing roof. Install with new Lifetime Class A composition shingles."
BLD25-4724,,"Building Permit No Plan Check",,,"18023 Mulberry Ave Agua Caliente [AGU]",,056-392-007,,"Electrical Service Change, Like for Like, 100-amp change"
BLD25-4726,Finaled,"Building Permit No Plan Check",,,"43 Wambold Ln Cotati [COT]",,024-105-018,,"REMOVE AND REPLACE 50 GALLON ELECTRIC WATER HEATER IN GARAGE. LIKE FOR LIKE SAME LOCATION."
BLD25-4729,,"Building Permit No Plan Check",,,"63 Sea Meadow Dr Sea Ranch [SEA]",,122-470-003,,"T/O AND REPLACE ROOF ON SFD W/CLASS A COMP 40 YEAR 21 SQUARES. SELF CERT. REPLACE 200 SQ. FT. REDWOOD 1 x 4 CLEAR T & G SIDING OVER EXISTING SHEAR PLY. REPLACE EXISTING WOINDOW IN EXISTING OPENING DUAL PANE MILGUARD."
BLD25-4734,Finaled,"Building Permit No Plan Check",,,"21480 Heron Dr Bodega Bay [BBY]",,100-262-033,,"FIRE REPAIR to SFD, Repair and replace in kind, to the S, SE corner of home. An approx 4x4 interior area of sheetrock and 4x4 area of exterior siding."
BLD25-4735,,"Building Permit No Plan Check",,,"38901 Pine Mountain Rd Geyserville [GEY]",,117-220-023,,"AT MAIN HOUSE: Remove and off haul existing comp shingles. Install underlayment and Z-Bar flashing. Install vertical seam metal panels. Install standard eave, rake, hip, and vented ridge cover. Install new butyl flashing. Install seamless metal gutters and gutter screens. 56 SQUARES."
BLD25-4736,,"Building Permit No Plan Check",,,"38901 Pine Mountain Rd Geyserville [GEY]",,117-220-023,,"AT ADU: Remove and off haul existing comp shingles. Install underlayment and Z-Bar flashing. Install vertical seam metal panels. Install standard eave, rake, hip, and vented ridge cover. Install new butyl flashing. Install seamless metal gutters and gutter screens. 22 SQUARES."
