permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-5992,Issued,"Building Permit No Plan Check",10/1/2025,10/01/2025,"874 Aurora Ln Glen Ellen [GLE]",054-160-026,$374.76,$0.00,"ADU, Replace AC System with Carrier 15 SEER Efficient"
BLD25-5996,Issued,"Building Permit No Plan Check",10/1/2025,10/01/2025,"21400 Santa Clara Ave Monte Rio [MRO]",094-064-006,$374.76,$0.00,"SFD - Installing a 3 ton Heat pump Mini Split General electric outdoor unit with 3 indoor heads being installed."
BLD25-5997,Issued,"Building Permit No Plan Check",10/1/2025,10/01/2025,"9970 Franz Valley School Rd Mark West Springs [MWS] Re-roof. Removal of existing roof materials and installation of 4,524 square feet",120-170-014,$565.09,$0.00,"of CUSTOM-BILT METALS 24 Gauge Standing Seam Metal Roofing System on a single family dwelling. Work Valuation $85,215.00. Self-certified."
BLD25-5998,Issued,"Building Permit No Plan Check",10/1/2025,10/02/2025,"107 Bailhache Ave Healdsburg [HEA]",088-160-047,$221.27,$0.00,"SFD - Roof Repair - 2 Squares of composition shingles - $1500"
BLD25-6000,Issued,"Building Permit No Plan Check",10/1/2025,10/01/2025,"1230 Madrone Ave Cotati [COT]",046-092-025,$374.76,$0.00,"SFD, Install (N) 24K Lennox Ductless Heat Pump on Right Side of Home"
BLD25-6001,Finaled,"Building Permit No Plan Check",10/1/2025,10/01/2025,"18108 California Ct Agua Caliente [AGU]",052-830-013,$374.76,$0.00,"SFD. Install 25"" (N) 3/4 HDPE water piping from meter to home - sleeved. No encroaching."
BLD25-6002,Finaled,"Building Permit No Plan Check",10/1/2025,10/01/2025,"3424 Powers Rd Sebastopol [SEB]",063-110-047,$553.77,$0.00,"Reroof SFD, 20 sqs; *Self Certified contractor; Remove existing roof. Install with new Lifetime Class A composition shingles."
BLD25-6003,Issued,"Building Permit No Plan Check",10/1/2025,10/06/2025,"2136 Bohemian Hwy Occidental [OCC]",073-170-017,$402.75,$0.00,"Siding repair and exploring the extent of deterioration, with the understanding that additional work may be required if further damage is discovered."
BLD25-6005,Finaled,"Building Permit No Plan Check",10/1/2025,10/01/2025,"110 Specht Rd Sonoma [SON]",128-322-022,$374.76,$0.00,"REMOVE AND REPLACE 40 GALLON GAS WATER HEATER IN LAUNDRY ROOM - LIKE FOR LIKE SAME LOCATION."
BLD25-6008,Issued,"Building Permit No Plan Check",10/1/2025,10/01/2025,"14960 Willow Rd Guerneville [GUE]",070-251-009,$402.75,$0.00,"Reroof project tear off old asphalt shingles and install new standing seam metal roof. 6 square. 600 sq/ft"
BLD25-6014,Issued,"Building Permit No Plan Check",10/1/2025,10/01/2025,"4707 Ponderosa Dr Bennett Valley [BEN]",049-420-002,$374.76,$0.00,"SFD, Replace Coil & A/C Condenser. Replace 12 Runs of R8 Wireflex"
BLD25-6015,Issued,"Building Permit No Plan Check",10/1/2025,10/01/2025,"5330 Sonoma Mountain Rd Bennett Valley [BEN]",049-030-048,$553.58,$0.00,"TEAR OFF AND DISPOSE OF EXISTING ROOF DOWN TO BARE WOOD INSTALL ONE LAYER OF DIAMOND DECK SYNTHIC FELT APRON UNDERLAYMENT OVER BARE WOOD INSTALL NEW WHITE 2X4 MENTAL ALONG RAKE AND EVES AND IN GUTTER CITY CODE, NEW 9"" STARTER AROUND PERIMETER,NEW PIPE JACKS AND EXHAUST FLASHING SKYLIGHT FLASHING STEP SHINGLE RUN AND SADDLE WITH CRICKET, NEW NEOPRENE RUBBER PIPE COLLAR OVER ALL PIPE JACKS PAINT ALL FLASHING TO MATCH ROOF, 8 PRE PAINTED FIRE AND ICE OHAGENS ALONE RIDGE AND ATTIC VENT,NEW 30 YR LIMITED LIFETIME WARRANTY CLASS A FIRE RATED ROOFING COMPOSITION SHINGLE,NEW HD 10"" MOUNTAIN RIDGE CAP ALONG RIDGE"
BLD25-6016,Finaled,"Building Permit No Plan Check",10/1/2025,10/01/2025,"3051 Edison St Graton [GRA]",130-162-026,$623.30,$0.00,"SFD; 15 sqs; Self Certified contractor; Remove existing roof. Install with new Lifetime Class A composition shingles. Main House only"
BLD25-6017,Issued,"Building Permit No Plan Check",10/1/2025,10/01/2025,"4778 Holly St Bennett Valley [BEN]",049-420-006,$374.76,$0.00,"Add electrical sub panel."
