permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-1761,Issued,"Building Permit No Plan Check",4/1/2025,04/01/2025,"2001 Coffee Ln Graton [GRA]",061-021-026,$537.12,$0.00,"SFD; 23sqs; Self Certified contractor; Remove existing roof. Install with new Lifetime Class A composition shingles - Comp section main house"
BLD25-1765,Issued,"Building Permit No Plan Check",4/1/2025,04/01/2025,"4840 Blank Rd Sebastopol [SEB]",062-160-022,$539.35,$0.00,"remove 1 layer comp shingles approx 3900 sqft. install 15lb tiger paw underlayment , edge metal and 9"" starter at entire perimeter. install all new flashing at penetrations and paint to match roof. install 30 yr hdz gaf comp shingles. install continuous lomanco ridge vent along with manufacturer ridge cap at ridge units."
BLD25-1766,Issued,"Building Permit No Plan Check",4/1/2025,04/01/2025,"1500 High School Rd Graton [GRA]",060-420-025,$363.62,$0.00,"Upgrade 100 amp panel to 200 amp no added load"
BLD25-1769,Issued,"Building Permit No Plan Check",4/1/2025,04/01/2025,"531 Mountain View Ave Penngrove [PEN]",045-282-017,$391.45,$0.00,"Partial Reroof where solar array to be installed, T/O existing roof layer 542 sq. ft., install new GAF 30yr Comp. Shingle, Haul away debris"
BLD25-1770,Issued,"Building Permit No Plan Check",4/1/2025,04/01/2025,"10445 Barnett Valley Rd Twin Hills [TWI]",073-040-079,$363.62,$0.00,"(N) 200A Panel with Backboard to Power Well Per PG&E (WEL25-0016)"
BLD25-1771,Issued,"Building Permit No Plan Check",4/1/2025,04/01/2025,"4324 Raymonde Way Bennett Valley [BEN]",049-230-002,$536.75,$0.00,"Reroof home. T/O existing shingle roof layer 6,600 sq. ft., install new GAF 30yr Comp Shingle, haul away roof debris."
BLD25-1774,Issued,"Building Permit No Plan Check",4/1/2025,04/01/2025,"4550 Mt Taylor Dr Bennett Valley [BEN]",049-190-047,$363.62,$0.00,"Replace main electrical panel with 200A panel"
BLD25-1775,Issued,"Building Permit No Plan Check",4/1/2025,04/01/2025,"1307 Barlow Ln Twin Hills [TWI]",061-110-053,$545.64,$0.00,"reroof 8000 sqft asphalt shingles to asphalt shingles"
BLD25-1776,Issued,"Building Permit No Plan Check",4/1/2025,04/01/2025,"820 Grandview Rd Twin Hills [TWI]",061-130-039,$537.40,$0.00,"reroof main home 1500 sqft asphalt shingles to asphalt shingles reroof detached laundry room 200 sqft asphalt shingles to asphalt shingles reroof detached shed 800 sqft asphalt shingles to asphalt shingles"
BLD25-1781,Finaled,"Building Permit No Plan Check",4/1/2025,04/03/2025,"7561 Mirabel Rd Forestville [FOR]",083-152-015,$363.62,$0.00,"SFD, Replace Gas Furnace under Home & (11) Duct Runs with R8 Ducting both Like for Like"
