permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-2476,Issued,"Building Permit No Plan Check",5/1/2025,05/05/2025,"1076 Palomino Rd Cloverdale [CLO]",117-280-069,$363.62,$0.00,"3.5 TON INVERTER HEAT PUMP CHANGEOUT LEFT HAND SIDE OF THE HOME AND 42K BTUS AIR HANDLER CHANGEOUT ATTIC"
BLD25-2477,Issued,"Building Permit No Plan Check",5/1/2025,05/05/2025,"470 Laguna Vista Rd Santa Rosa [SRO]",130-491-034,$363.62,$0.00,"5 TON CONDENSER CHANGEOUT BACK YARD AND 80K BTUS 97% FURNACE CHANGEOUT ATTIC - REPLACE R8 DUCTS UNDER HOME AND IN ATTIC 14 SUPPLY 2 RETURN"
BLD25-2481,Issued,"Building Permit No Plan Check",5/1/2025,05/01/2025,"12099 Hwy 12 Glen Ellen [GLE]",053-100-004,$536.70,$0.00,"SFD; 17sqs; Self Certified contractor; Remove existing roof. Install with new Lifetime Class A composition shingles - care taker unit"
BLD25-2482,Issued,"Building Permit No Plan Check",5/1/2025,05/01/2025,"796 Hunter Ln Penngrove [PEN]",045-284-014,$363.62,$0.00,"Upgrade from 100 amp to 200 amp"
BLD25-2483,Issued,"Building Permit No Plan Check",5/1/2025,05/01/2025,"1898 Cooper Rd Sebastopol [SEB]",063-250-017,$536.67,$0.00,"SFD; 23sqs; Self Certified contractor; Remove existing roof. Install with new Lifetime Class A composition shingles"
BLD25-2484,Issued,"Building Permit No Plan Check",5/1/2025,05/02/2025,"9455 Argonne Way Forestville [FOR]",082-061-072,$540.56,$0.00,"SFD, T/O 18 sqrs Install 24 Gauge Mechanical Seam Metal Roof"
BLD25-2485,Issued,"Building Permit No Plan Check",5/1/2025,06/02/2025,"11000 Slattery Rd Kenwood [KEN]",053-180-027,$544.42,$0.00,"SFD, T/O 12sqrs, Install 24 gauge corrugated metal"
BLD25-2486,"Pre- Due","Building Permit No Plan Check",5/1/2025,,"10449 Scenic Dr Forestville [FOR]",082-290-023,$540.95,$0.00,"SFD, T/O 18sqrs, Install 24 gauge standing seam metal"
BLD25-2488,Issued,"Building Permit No Plan Check",5/1/2025,05/01/2025,"8389 Kennedy Rd Twin Hills [TWI]",076-160-008,$363.62,$0.00,"MSP 100amps upgrade for well meter"
BLD25-2489,Issued,"Building Permit No Plan Check",5/1/2025,05/01/2025,"846 Misty Hills Rd A Twin Hills [TWI]",063-293-044,$363.62,$0.00,"Upgrade main electrical service panel from 100-amp to 200-amp"
