permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-3161,Issued,"Building Permit No Plan Check",6/1/2025,06/01/2025,"999 Accela Way",999-999-999,$0.00,$0.00,
BLD25-3164,Issued,"Building Permit No Plan Check",6/2/2025,06/02/2025,"196 Temelec Cir Sonoma [SON]",142-160-041,$536.62,$0.00,"Tear off 1 layer of asphalt shingles on the main house, approx 2000 sq ft. Install new 15lb felt paper underlayment. Shingle with new 30 year high definition type 1 architectural asphalt shingles on the main house, approx 2000 sq ft."
BLD25-3165,Issued,"Building Permit No Plan Check",6/2/2025,06/02/2025,"2021 Thornsberry Rd Sonoma [SON]",127-193-030,$541.91,$47000.00,"SFD We are cleaning and resurfacing an existing small pool at our home. There will be no demolition or new construction of pool structure. The decking area around the pool will also remain as is and not be changed other than cleaning. A new skimmer will be included and the pipe will be run from the new skimmer to the updated equipment on our existing pad."
BLD25-3167,Issued,"Building Permit No Plan Check",6/2/2025,06/02/2025,"1440 Felta Rd Healdsburg [HEA]",110-070-017,$363.62,$0.00,"Residential meter panel upgrade"
BLD25-3171,Issued,"Building Permit No Plan Check",6/2/2025,06/03/2025,"38665 Breaker Reach Sea Ranch [SEA]",156-160-006,$550.80,$0.00,"SFD Remove and replace 1 X 6 cedar STK T & G siding 1200 sq. Ft. over existing shear ply SFD. Replace existing windows with new fleetwood windows using existing window frame openings. T/O & replace roof with class A composition 40 year shingle 22 squares. Self cert."
BLD25-3177,Issued,"Building Permit No Plan Check",6/2/2025,06/11/2025,"3923 Westside Rd Healdsburg [HEA]",110-100-024,$839.73,$0.00,"Addition of new motorized driveway entry gate."
BLD25-3179,Issued,"Building Permit No Plan Check",6/2/2025,06/02/2025,"191 La Mancha Way Agua Caliente [AGU]",052-690-030,$391.81,$0.00,"TEAR OFF AND REROOF WITH 5 SQUARES OF NEW CAP SHEET."
BLD25-3182,Issued,"Building Permit No Plan Check",6/2/2025,06/11/2025,"26889 Toyon Ln Cloverdale [CLO]",117-300-003,$363.62,$0.00,"HVAC. Install (2) dual zone mini split system for heating and cooling in the SFD."
BLD25-3183,Issued,"Building Permit No Plan Check",6/2/2025,06/02/2025,"8333 Bohemian Hwy Camp Meeker [CAM]",074-240-012,$541.60,$0.00,"T/O 41 SQ COMP SHINGLE; RE-ROOF WITH CLASS A RATED COMP SHINGLE AT PITCHED ROOF AND APP TORCH DOWN AT LOW SLOPE ROOF; SFD; SELF CERT; MAIN HOUSE AND DETACHED DINING ROOM"
BLD25-3185,Issued,"Building Permit No Plan Check",6/2/2025,06/06/2025,"16312 3rd St Guerneville [GUE]",070-030-088,$363.62,$0.00,"replace existing gas furnace and condensing unit with new air handler and heat pump"
