permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-1158,Issued,"Building Permit No Plan Check",3/1/2025,03/01/2025,"5362 Mill Creek Rd Healdsburg [HEA]",069-040-018,$363.62,$0.00,"Permit for PG&E to replace power lines/poles (see A & B 0n site plan)as they were prior to being destroyed in the LNU Lightning Complex fire and replace destroyed panel box and meter to the pole."
BLD25-1159,Issued,"Building Permit No Plan Check",3/2/2025,03/03/2025,"1250 Mountain View Ave Petaluma [PET]",019-231-001,$363.62,$0.00,"SFD Replacing 95% High efficient furnace and A/C (like for like)"
BLD25-1160,"Pre- Due","Building Permit No Plan Check",3/2/2025,,"19380 Desilu Dr Sonoma [SON]",127-193-036,$363.62,$0.00,"SFD Plumbing piping and fixture alterations and replacement. Electrical wiring modifications and replacement; new fixtures, outlets, trim."
BLD25-1164,Issued,"Building Permit No Plan Check",3/3/2025,03/03/2025,"1260 Nutter Rd Geyserville [GEY]",141-170-009,$536.81,$0.00,"RE-ROOF 25 SQUERS WITH THE 30YR CLASS A FIBERGLASS SHINGLES. IM SELF CERTIFIED."
BLD25-1165,Issued,"Building Permit No Plan Check",3/3/2025,03/03/2025,"200 Knudtsen Ln Petaluma [PET]",021-024-071,$363.62,$0.00,"Replacing existing fau in basement with Lennox 97% High Efficient Two Stage Variable Speed fau in same location"
BLD25-1166,Issued,"Building Permit No Plan Check",3/3/2025,03/03/2025,"344 Anglers Way Petaluma [PET]",021-090-035,$363.62,$0.00,"SFD, Electric for Septic & Well"
BLD25-1167,Finaled,"Building Permit No Plan Check",3/3/2025,03/03/2025,"8835 Brown Ave Kenwood [KEN]",050-175-026,$363.62,$0.00,"Upgrade existing panel change, 175A to 200A PV rated panel, like for like, no added load or solar."
BLD25-1168,Issued,"Building Permit No Plan Check",3/3/2025,03/04/2025,"802 Fitch View Ln Windsor [WIN]",086-150-052,$363.62,$0.00,"SFD- To service the main house - replace approx 180 lf of failed ducting with new ducting - located in crawlspace & attic"
BLD25-1170,Issued,"Building Permit No Plan Check",3/3/2025,03/03/2025,"12991 Richardson Ave Forestville [FOR]",085-271-004,$363.62,$0.00,"Replacing existing fau under the home with 3T 97% 2 stage upflow in same location"
BLD25-1171,Issued,"Building Permit No Plan Check",3/3/2025,03/04/2025,"2856 Bardy Rd Bennett Valley [BEN]",055-170-026,$363.62,$0.00,"SFD. Replace furnace"
BLD25-1172,Issued,"Building Permit No Plan Check",3/3/2025,03/03/2025,"21060 Geyserville Ave Geyserville [GEY]",140-100-010,$215.19,$0.00,"RE-ROOF 3 SQ AWNING ONLY WITH THE 30 YR CLASS A FIBERGLASS SHINGLES."
BLD25-1174,Issued,"Building Permit No Plan Check",3/3/2025,03/04/2025,"7001 Hwy 1 Bodega Bay [BBY]",101-140-044,$363.62,$0.00,"SFD. Replace furnace"
BLD25-1175,Issued,"Building Permit No Plan Check",3/3/2025,03/04/2025,"7486 Poplar Dr Forestville [FOR]",083-140-060,$363.62,$0.00,"SFD. Replace air handler and heat pump condenser"
BLD25-1176,Issued,"Building Permit No Plan Check",3/3/2025,03/04/2025,"26444 Bella Aria Way Cloverdale [CLO]",117-320-003,$363.62,$0.00,"SFD. Install ductless mini split"
BLD25-1177,Started,"Building Permit No Plan Check",3/3/2025,,"999 Accela Way",999-999-999,$0.00,,"Carol No Plan Check TEST"
BLD25-1178,Issued,"Building Permit No Plan Check",3/3/2025,03/03/2025,"11371 Bodega Hwy Twin Hills [TWI]",077-081-051,$363.62,$0.00,"SFD- REPLACE 50 GALLON WATER HEATER IN SAME LOCATION"
BLD25-1180,Issued,"Building Permit No Plan Check",3/3/2025,03/12/2025,"18298 Hwy 12 Agua Caliente [AGU]",056-404-023,$544.48,$0.00,"Commercial Re-roof 28 SQ asphalt shingles office building 18298"
BLD25-1180,Issued,"Building Permit No Plan Check",3/3/2025,03/12/2025,"18298 Hwy 12 Agua Caliente [AGU]",056-404-023,$544.48,$0.00,"Commercial Re-roof 28 SQ asphalt shingles office building 18298"
BLD25-1182,Issued,"Building Permit No Plan Check",3/3/2025,03/03/2025,"9000 Donald St A Graton [GRA]",130-152-007,$363.62,$0.00,"SFD Gas line for fire pit"
BLD25-1183,Issued,"Building Permit No Plan Check",3/3/2025,03/15/2025,"11941 Barnett Valley Rd Twin Hills [TWI]",073-090-048,$363.62,$0.00,"Installation by licensed installer of an Enviro P3 pellet stove and manufacturer's required Duravent venting that will horizontally exit the building, then run parallel to an exterior wall clad in Hardi panels and extend 4' up from a cleanout T."
BLD25-1187,Issued,"Building Permit No Plan Check",3/4/2025,03/04/2025,"5627 Inverness Ave Bennett Valley [BEN]",045-330-044,$363.62,$0.00,"Replace existing 50 gallon propane water heater with tankless water heater"
BLD25-1188,Issued,"Building Permit No Plan Check",3/4/2025,03/04/2025,"1307 Barlow Ln Twin Hills [TWI]",061-110-053,$363.62,$0.00,"SFD. Replace furnace, like for like."
BLD25-1190,Finaled,"Building Permit No Plan Check",3/4/2025,03/04/2025,"4965 Coastal Ave Bodega Bay [BBY]",101-060-030,$363.62,$0.00,"200amp 200amp main panel change"
BLD25-1192,Issued,"Building Permit No Plan Check",3/4/2025,03/04/2025,"4709 Londonberry Dr Windsor [WIN]",058-300-011,$363.62,$0.00,"Remove & reinstall 45 PV Solar Panels, (E) PV - BLD15-5807"
BLD25-1193,Issued,"Building Permit No Plan Check",3/4/2025,03/04/2025,"18690 Manzanita Rd Agua Caliente [AGU]",056-502-022,$536.88,$0.00,"Roof replacement: Tear off existing roof material and install new cool roof shingles - CRRC0850-0071"
BLD25-1194,Issued,"Building Permit No Plan Check",3/4/2025,03/04/2025,"129 Meadow Dr Windsor [WIN]",059-283-047,$363.62,$0.00,"SFD. Replace 12 duct runs, R8 wireflex"
BLD25-1195,Issued,"Building Permit No Plan Check",3/4/2025,03/04/2025,"907 Los Robles Dr Agua Caliente [AGU]",056-583-021,$363.62,$0.00,"Replace/relocate (per PG&E requirements for gas meter separation from elec panel) existing outmoded 100A main electric service entry panel with new Square D or equal 200A main panel."
BLD25-1199,Finaled,"Building Permit No Plan Check",3/4/2025,03/04/2025,"2080 Madrone Ave Healdsburg [HEA]",087-173-009,$537.21,$0.00,"Remove and replace existing composition shingle roof with new Class A fire rated composition shingle roofing system 18 SQ"
BLD25-1201,Issued,"Building Permit No Plan Check",3/4/2025,03/04/2025,"5923 Van Keppel Rd Forestville [FOR]",083-072-010,$363.62,$0.00,"Replace main panel at residence. Install power pole at property line. Install new main panel/power meter on power pole and underground electrical service to main residence wall mounted subpanel."
BLD25-1205,Issued,"Building Permit No Plan Check",3/4/2025,03/04/2025,"1140 Windsor River Rd Windsor [WIN]",066-191-023,$363.62,$0.00,"Looking at doing a main panel upgrade. Going from 100AMP to 200 amps."
BLD25-1207,Finaled,"Building Permit No Plan Check",3/4/2025,03/04/2025,"3957 Holland Dr Bennett Valley [BEN]",049-280-027,$363.62,$0.00,"Main service panel replacement, existing Sylvania to be replaced with new like for like 200amp main service panel, residential, 240/120v single phase, no added loads."
BLD25-1211,Finaled,"Building Permit No Plan Check",3/5/2025,03/05/2025,"61 Silvia Dr Guerneville [GUE]",105-310-032,$363.62,$0.00,"Replace failed 40 gallon propane water heater with new 40 gallon propane water heater in same location."
BLD25-1212,Issued,"Building Permit No Plan Check",3/5/2025,03/05/2025,"15300 Rio Nido Rd Guerneville [GUE]",070-190-009,$536.83,$0.00,"reroof--tear off--install a new cool composition shingle roof. like for like comp to comp"
BLD25-1213,Issued,"Building Permit No Plan Check",3/5/2025,03/05/2025,"985 Eastman Ln A Petaluma [PET]",021-030-079,$539.44,$0.00,"SFD, Tear off & Reroof (33 SQ) GAF Shingles w/ New Underlayment"
BLD25-1214,Issued,"Building Permit No Plan Check",3/5/2025,03/05/2025,"985 Eastman Ln A Petaluma [PET]",021-030-079,$537.54,$0.00,"Det'd Building, Tear off & Reroof (25 SQ) GAF Shingles w/ New Underlayment"
BLD25-1219,Issued,"Building Permit No Plan Check",3/5/2025,03/05/2025,"7260 Occidental Rd Graton [GRA]",060-330-032,$546.22,$0.00,"Tear off existing roof 3 layers, install new GAF Timberline HDZ shingles Class A in Birchwood (20 squares) on the flat roof area Installing IB Roof 50 mil PVC Class A membrane in white (4 squares) No re-sheeting, Pitch 5/12 * self certify."
BLD25-1220,Finaled,"Building Permit No Plan Check",3/5/2025,03/06/2025,"18815 Lomita Ave Agua Caliente [AGU]",127-342-011,$363.62,$0.00,"SFD, Install Mini Split Heat Pump Wall Mounted in Garage & HP/AC at Exterior Left Side of Residence"
BLD25-1221,Issued,"Building Permit No Plan Check",3/5/2025,03/05/2025,"21240 Heron Dr Bodega Bay [BBY]",100-252-032,$363.62,$0.00,"SFD- To service the main house - replace failed furnace with new furnace - located in indoor closet"
BLD25-1223,Issued,"Building Permit No Plan Check",3/5/2025,03/05/2025,"1475 Bay Flat Rd Bodega Bay [BBY]",100-070-028,$363.62,$0.00,"SFD-To service the main house - replace failed furnace with new furnace"
BLD25-1225,Issued,"Building Permit No Plan Check",3/5/2025,03/05/2025,"691 Central Ave Agua Caliente [AGU]",056-581-003,$537.40,$0.00,"Tear off existing roofing system and replace with new roof"
BLD25-1226,Finaled,"Building Permit No Plan Check",3/5/2025,03/05/2025,"928 Chileno Valley Rd Petaluma [PET]",020-070-022,$536.72,$0.00,"tear off re roof 23 squares using class A comp shingles SELF CERTIFICATE"
BLD25-1228,Issued,"Building Permit No Plan Check",3/5/2025,03/24/2025,"2071 Wood Rd Santa Rosa [SRO]",059-040-008,$363.62,$0.00,"New gas meter for 2nd SFD (2043 Wood)"
BLD25-1230,Issued,"Building Permit No Plan Check",3/5/2025,03/06/2025,"2733 Guerneville Rd Santa Rosa [SRO]",034-162-036,$539.44,$0.00,"SFD, Siding Replacement w/ James Hardie Fiber Cement Siding to Exterior & Replace (3) Anlin Windows Like for Like"
BLD25-1232,Issued,"Building Permit No Plan Check",3/5/2025,03/05/2025,"22200 Puccioni Rd Healdsburg [HEA]",110-060-057,$608.17,$0.00,"Remove existing solar panels and haul away and cap off waterline as needed. At chimney remove existing siding to expose the saddles and step shingles, reinstall siding after new saddle and steps are installed paint not covered. Provide and install 1 25""x25"" skylight to replace broken one. Remove existing composition shingles down to substrate, provide and install type 30 felt mechanically attached to substrate. Provide and install 2x2 edge metal at all gable conditions and eave conditions. Provide and install Malarkey 40yr Vista NEX shingles mechanically attached to substrate with 1 1/4"" coil nails. Provide and install all new 24 gauge galvanized saddles at 3 skylights and 1 chimney. Provide and install all new roof assemblies and plumbing vents, attic vents. Provide and install malarkey ridgeflex ridge shingles at all ridge conditions."
BLD25-1235,Issued,"Building Permit No Plan Check",3/5/2025,03/05/2025,"764 W Dry Creek Rd Healdsburg [HEA]",089-160-005,$363.62,$0.00,"Replace the existing two 100-amp overhead meter panels and pole as the existing panels and pole were compromised by tree. Both panels and pole are located at 764, however, one panel will serve 760 and one will serve 771 West Dry Creek"
BLD25-1236,Issued,"Building Permit No Plan Check",3/5/2025,03/06/2025,"13586 Recreation Dr Forestville [FOR]",085-060-010,$363.62,$0.00,"Install mini split"
BLD25-1237,Issued,"Building Permit No Plan Check",3/5/2025,03/05/2025,"1083 Palomino Rd Cloverdale [CLO]",117-280-022,$536.97,$0.00,"remove 1 layer comp shingles approx 2000sqft. install 15lb tiger paw underlayment, edge metal, 9"" starter at entire perimeter. Install all new flashings at penetrations and paint to match roof. Install 30yr hdz gaf comp shingles. install continuous lomanco ridge vent along with manufacturer ridge cap at ridge units."
BLD25-1239,"Application Accepted/In Review","Building Permit No Plan Check",3/5/2025,,"17420 Guernewood Ln Guerneville [GUE]",072-190-003,$898.71,$0.00,"To legalize violation VBU25-0017: Replace existing electrical switches, plugs, lights, bathroom and kitchen plumbing fixtures in kind."
BLD25-1241,Issued,"Building Permit No Plan Check",3/6/2025,03/06/2025,"95 South Wind Sea Ranch [SEA]",156-510-018,$539.37,$0.00,"Tear off 41 squares and reroof with class a fire rated roof system using HOA required GAF Timberline NS shingle and GAF Weatherwatch SA underlayment. Self Cert."
BLD25-1243,Finaled,"Building Permit No Plan Check",3/6/2025,03/06/2025,"18248 7th St E Sonoma [SON]",127-540-030,$363.62,$0.00,"NEW AC System Install New Rheem Endeavor line prestige air conditioner. 18seer 13eer2 model#RA19AY4800 Install new rheem horizontal cased coil with biflow txv. Run new line set, install new disconnect box with fuses, new pad . Install on existing forced air furnace. Includes re-strapping of all existing ductwork. Increase return ducting side to 18 inch. Run new supply ducting ( dump zone to living room) Seal all ductwork , seal all floor boots as required by code . Includes permit cost . Includes title 24 test 10 year manufacturer warranty, 10 install warranty with maintenance agreement** * does not qualify for federal rebate * * does not qualify for local state or county rebate *"
BLD25-1247,Issued,"Building Permit No Plan Check",3/6/2025,03/06/2025,"15217 Canyon 7 Rd Guerneville [GUE]",070-200-001,$535.97,$0.00,"Single family dwelling. Tear off and reroof 10 squares using Class ""A"" Laminated dimensional fiberglass shingles. SELF CERT"
BLD25-1250,Issued,"Building Permit No Plan Check",3/6/2025,03/10/2025,"8925 Barnett Valley Rd Twin Hills [TWI]",076-160-054,$363.62,$0.00,"Replace existing gas furnace with ducted heat pump"
BLD25-1251,Issued,"Building Permit No Plan Check",3/6/2025,03/11/2025,"708 Parthenon Way Agua Caliente [AGU]",052-216-027,$363.62,$0.00,"Replace water heater, tanked, natural gas, 40 gallon"
BLD25-1252,Issued,"Building Permit No Plan Check",3/6/2025,03/10/2025,"2714 Ash Dr Bellevue [BEL]",035-231-010,$363.62,$0.00,"SFD. Replace indoor gas furnace with new ADP air handler, same location. Install new Bosch heat pump on exterior of home & replace 7 duct runs with new R8 Mylar wire flex"
BLD25-1253,Issued,"Building Permit No Plan Check",3/6/2025,03/10/2025,"2598 Joy Rd Occidental [OCC]",073-230-037,$363.62,$0.00,"SFD. Replace 12 supply runs Alumaflex R8 under the home"
BLD25-1254,Issued,"Building Permit No Plan Check",3/6/2025,03/06/2025,"19410 Hwy 101 Geyserville [GEY]",140-040-003,$715.71,$0.00,"COMM Furnish and Install a Carlisle 60mil PVC Roofing System with a 20 year NDL Guarantee 67,400SF (materials same appearance)"
BLD25-1256,Issued,"Building Permit No Plan Check",3/6/2025,03/10/2025,"37725 Breaker Reach Sea Ranch [SEA]",156-190-017,$363.62,$0.00,"SFD - Replace existing copper pipes with PEX. SFD. Replace existing copper pipes with PEX pipe. The pipe will be replaced from the main water service line including shutoff valve to subfloor of the house."
BLD25-1258,Finaled,"Building Permit No Plan Check",3/6/2025,03/06/2025,"2727 Marra Rd Occidental [OCC]",073-200-017,$363.62,$0.00,"SFD- REPLACE 40 GALLON WATER HEATER IN SAME LOCATION. LIKE FOR LIKE"
BLD25-1260,Finaled,"Building Permit No Plan Check",3/6/2025,03/06/2025,"19180 Old Winery Rd Sonoma [SON]",127-191-064,$363.62,$0.00,"Remove and haul away 1 failed combi boiler for domestic hot water and radiant floor heating. Supply and install 1 Navien NCB 190/60H combi boiler and reconnect to the existing domestic hot and cold water and the existing radiant floor heating system. Install 1 new concentric vent kit from the boiler through the roof. Install 1 new gas flex supply line and sediment trap. Install 1 new backflow preventer."
BLD25-1261,Issued,"Building Permit No Plan Check",3/6/2025,03/10/2025,"584 Carnation Ct Sonoma [SON]",142-270-029,$363.62,$0.00,"SFD - Replace furnace and AC with new Air Handler and Heat Pump SFD - To service the main house - replace failed furnace and AC with new air handler and heat pump - air handler located in garage and heat pump located in right side yard"
BLD25-1262,Finaled,"Building Permit No Plan Check",3/6/2025,03/06/2025,"3350 White Alder Sonoma [SON]",142-280-007,$363.62,$0.00,"Remove and haul away 1 failed Navien NHB 80 boiler. Supply and install 1 new Navien NHB 80 condensing boiler for a heat only installation. Connect to the existing flue vent and air intake pipes, existing radiant supply and return, P&T, condensate and backflow discharge lines. Supply and install 1 new gas flex supply and sediment trap (drip leg) tee."
BLD25-1263,Issued,"Building Permit No Plan Check",3/6/2025,03/06/2025,"8925 Argonne Way Forestville [FOR]",082-072-031,$363.62,$0.00,"SFD Removal and reinstall existing PV system to accommodate new roofing at existing location."
BLD25-1265,Issued,"Building Permit No Plan Check",3/6/2025,03/06/2025,"160 Arch Rock Rd Sea Ranch [SEA]",156-090-005,$363.62,$0.00,"REPLACING EXISTING 200AMP MAIN SERVICE PANEL FOR NEW 200AMP MAIN SERVICE PANEL LIKE FOR LIKE NO ADDED LOAD NO RELOCATION."
BLD25-1266,Issued,"Building Permit No Plan Check",3/6/2025,03/06/2025,"4459 Bennett View Dr Bennett Valley [BEN]",049-230-020,$363.62,$0.00,"SFD Add (1) dedicated 50-amp 240-volt circuit for EV charging"
BLD25-1267,Issued,"Building Permit No Plan Check",3/6/2025,03/06/2025,"248 Wikiup Meadows Dr Windsor [WIN]",039-360-057,$363.62,$0.00,"Remove and replace Furnace like for like same location (Garage)"
BLD25-1268,Issued,"Building Permit No Plan Check",3/6/2025,03/06/2025,"5567 Hall Rd Santa Rosa [SRO]",130-210-019,$363.62,$0.00,"Permit for electrical meter swap."
BLD25-1270,Issued,"Building Permit No Plan Check",3/6/2025,03/06/2025,"5280 Las Flores Rd Bodega Bay [BBY]",101-240-008,$536.72,$0.00,"Remove existing composition roofing. Replace with Class A composition roofing per manufacturers specifications. Install 15 lb. synthetic underlayment per manufacturers specifications. 20 squares. Self Cert."
BLD25-1271,"Awaiting Applicant Response","Building Permit No Plan Check",3/6/2025,,"7350 Lynch Rd Twin Hills [TWI]",060-170-017,$0.00,$0.00,"(N) 26' x 24'-6"" (637 SF) Concrete Slab with a Retaining Wall below 3'-0"" in height around 40% of the slab. For the permanent placement of three 20' x 8' Cargo Containers to clear violations VBU25-0047, VBU25-0048, VBU25-0049 (Under separate permits)"
BLD25-1272,Issued,"Building Permit No Plan Check",3/6/2025,03/06/2025,"4488 Stoetz Ln Graton [GRA]",074-041-021,$363.62,$0.00,"Replace existing 100 amp Meter Main with a new 200 amp meter main with distribution in the same location overhead service."
