row_index,target_field,algorithm,predicted_value,confidence,prediction_source,passes_threshold,raw_permit_id
1,permit_class,grouped_majority,Residential-Multi-Family,0.5607476635514018,group_majority,True,run_20260607_155219_15_row_000003
2,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,run_20260607_155219_15_row_000004
6,permit_class,grouped_majority,Residential-Multi-Family,0.5607476635514018,group_majority,True,run_20260607_155219_15_row_000008
7,permit_class,grouped_majority,Residential-Multi-Family,0.7089552238805971,group_majority,True,run_20260607_155219_15_row_000009
9,permit_class,grouped_majority,Residential-Multi-Family,0.5607476635514018,group_majority,True,run_20260607_155219_15_row_000011
10,permit_class,grouped_majority,Residential-Multi-Family,0.5607476635514018,group_majority,True,run_20260607_155219_15_row_000012
12,permit_class,grouped_majority,Residential-Multi-Family,0.7089552238805971,group_majority,True,run_20260607_155219_15_row_000014
18,permit_class,grouped_majority,Residential-Multi-Family,0.7089552238805971,group_majority,True,run_20260607_155219_15_row_000020
20,permit_class,grouped_majority,Residential-Multi-Family,0.7089552238805971,group_majority,True,run_20260607_155219_15_row_000022
21,permit_class,grouped_majority,Residential-Multi-Family,0.7089552238805971,group_majority,True,run_20260607_155219_15_row_000023
22,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,run_20260607_155219_15_row_000024
23,permit_class,grouped_majority,Residential-Multi-Family,0.7089552238805971,group_majority,True,run_20260607_155219_15_row_000025
25,permit_class,grouped_majority,Residential-Multi-Family,0.7089552238805971,group_majority,True,run_20260607_155219_15_row_000027
26,permit_class,grouped_majority,Residential-Multi-Family,0.7089552238805971,group_majority,True,run_20260607_155219_15_row_000028
27,permit_class,grouped_majority,Residential-Multi-Family,0.7089552238805971,group_majority,True,run_20260607_155219_15_row_000029
31,permit_class,grouped_majority,Residential-Multi-Family,0.7089552238805971,group_majority,True,run_20260607_155219_15_row_000033
34,permit_class,grouped_majority,Residential-Multi-Family,0.7089552238805971,group_majority,True,run_20260607_155219_15_row_000036
39,permit_class,grouped_majority,Residential-Multi-Family,0.7089552238805971,group_majority,True,run_20260607_155219_15_row_000041
46,permit_class,grouped_majority,Residential-Multi-Family,0.732824427480916,group_majority,True,run_20260607_155219_15_row_000048
72,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,run_20260607_155219_15_row_000074
