row_index,target_field,algorithm,predicted_value,confidence,prediction_source,passes_threshold,candidate_status,rejection_reason,validation_record_status
6,permit_type,grouped_majority,Building Permit OTC,0.5,group_majority,True,Accepted,,valid
7,permit_type,grouped_majority,Building Permit OTC,0.5,group_majority,True,Accepted,,valid
9,permit_type,grouped_majority,Building Permit OTC,0.5,group_majority,True,Accepted,,valid
11,permit_type,grouped_majority,Building Permit OTC,0.5,group_majority,True,Accepted,,valid
16,permit_type,grouped_majority,Building Permit OTC,1.0,group_majority,True,Accepted,,valid
17,permit_type,grouped_majority,Building Permit OTC,0.5,group_majority,True,Accepted,,valid
18,permit_type,grouped_majority,Building Permit OTC,0.5,group_majority,True,Accepted,,valid
23,permit_type,grouped_majority,Building Permit OTC,0.5,group_majority,True,Accepted,,valid
30,permit_type,grouped_majority,Building Permit OTC,0.5,group_majority,True,Accepted,,valid
33,permit_type,grouped_majority,Building Permit OTC,0.5,group_majority,True,Accepted,,valid
34,permit_type,grouped_majority,Building Permit OTC,0.5,group_majority,True,Accepted,,valid
39,permit_type,grouped_majority,Building Permit OTC,0.5,group_majority,True,Accepted,,valid
41,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
43,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
45,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
46,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
49,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
53,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
55,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
57,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
58,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
62,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
63,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
65,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
66,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
69,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
70,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
75,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
76,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
78,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
80,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
